date,sn,sn_std,n_obs,fluxadjflux,fluxursi,kp,ap,sn_lag_1m,sn_lag_3m,sn_lag_6m,f107_lag_1m,f107_lag_3m,f107_lag_6m
2012-07-01,100.26666666666667,6.72,287,142.10430107526884,127.90430107526883,2.2715080645161287,13.90725806451613,96.4,84.3529411764706,89.0,124.19333333333334,114.13777777777777,130.48555555555555
2012-08-01,102.92857142857143,6.75,280,118.75053763440862,106.88064516129033,1.572584677419355,6.943548387096774,100.26666666666667,95.29411764705883,44.666666666666664,142.10430107526884,124.12258064516129,104.28735632183908
2012-09-01,93.06666666666666,7.066666666666666,263,124.69666666666667,112.22333333333334,1.5708333333333333,8.066666666666666,102.92857142857143,96.4,88.66666666666667,118.75053763440862,124.19333333333334,114.52688172043011
2012-10-01,75.92307692307692,4.638461538461538,209,122.21612903225805,109.99462365591398,1.5873629032258065,9.96774193548387,93.06666666666666,100.26666666666667,84.3529411764706,124.69666666666667,142.10430107526884,114.13777777777777
2012-11-01,85.07142857142857,6.192857142857143,178,118.45444444444443,106.60777777777777,1.3194291666666667,7.079166666666667,75.92307692307692,102.92857142857143,95.29411764705883,122.21612903225805,118.75053763440862,124.12258064516129
2012-12-01,61.57142857142857,5.057142857142857,164,104.87096774193549,94.38494623655914,0.8077701612903225,3.439516129032258,85.07142857142857,93.06666666666666,96.4,118.45444444444443,124.69666666666667,124.19333333333334
2013-01-01,93.05555555555556,5.199999999999999,212,122.77634408602151,110.5,1.180100806451613,5.298387096774194,61.57142857142857,75.92307692307692,100.26666666666667,104.87096774193549,122.21612903225805,142.10430107526884
2013-02-01,61.76923076923077,4.630769230769231,169,101.90357142857144,91.71309523809524,1.4211339285714286,6.111607142857143,93.05555555555556,85.07142857142857,102.92857142857143,122.77634408602151,118.45444444444443,118.75053763440862
2013-03-01,81.11764705882354,6.0,227,110.22365591397849,99.19999999999999,1.7580564516129031,10.560483870967742,61.76923076923077,61.57142857142857,93.06666666666666,101.90357142857144,104.87096774193549,124.69666666666667
2013-04-01,105.6923076923077,6.369230769230769,241,125.64166666666667,113.08055555555555,1.18885,5.395833333333333,81.11764705882354,93.05555555555556,75.92307692307692,110.22365591397849,122.77634408602151,122.21612903225805
2013-05-01,119.89473684210526,8.105263157894736,293,134.33440860215055,120.90107526881721,1.8951370967741936,9.72983870967742,105.6923076923077,61.76923076923077,85.07142857142857,125.64166666666667,101.90357142857144,118.45444444444443
2013-06-01,77.92307692307692,4.753846153846154,223,114.25222222222222,102.81777777777778,2.072175,12.604166666666666,119.89473684210526,81.11764705882354,61.57142857142857,134.33440860215055,110.22365591397849,104.87096774193549
2013-07-01,85.82352941176471,6.041176470588235,317,119.29247311827957,107.36344086021506,1.809157258064516,9.471774193548388,77.92307692307692,105.6923076923077,93.05555555555556,114.25222222222222,125.64166666666667,122.77634408602151
2013-08-01,96.3076923076923,6.015384615384615,233,117.74946236559141,105.9731182795699,1.7136854838709679,8.274193548387096,85.82352941176471,119.89473684210526,61.76923076923077,119.29247311827957,134.33440860215055,101.90357142857144
2013-09-01,53.7,4.64,146,103.91000000000001,93.51444444444445,1.2388958333333333,5.241666666666666,96.3076923076923,77.92307692307692,81.11764705882354,117.74946236559141,114.25222222222222,110.22365591397849
2013-10-01,112.2,7.84,201,132.04462365591397,118.84301075268817,1.267443548387097,7.709677419354839,53.7,85.82352941176471,105.6923076923077,103.91000000000001,119.29247311827957,125.64166666666667
2013-11-01,115.95652173913044,7.5260869565217385,251,145.5511111111111,131.0,1.1805416666666666,5.675,112.2,96.3076923076923,119.89473684210526,132.04462365591397,117.74946236559141,134.33440860215055
2013-12-01,129.16666666666666,8.408333333333333,164,143.49032258064514,129.14086021505378,0.9932620967741935,4.67741935483871,115.95652173913044,53.7,77.92307692307692,145.5511111111111,103.91000000000001,114.25222222222222
2014-01-01,116.61111111111111,7.538888888888888,224,157.4956989247312,141.74516129032259,1.2486693548387098,5.439516129032258,129.16666666666666,112.2,85.82352941176471,143.49032258064514,132.04462365591397,119.29247311827957
2014-02-01,138.75,9.391666666666667,164,166.01309523809525,149.40714285714284,1.8363035714285714,10.700892857142858,116.61111111111111,115.95652173913044,96.3076923076923,157.4956989247312,145.5511111111111,117.74946236559141
2014-03-01,127.3529411764706,8.688235294117646,287,148.96559139784947,134.0720430107527,1.1666975806451614,4.875,138.75,129.16666666666666,53.7,166.01309523809525,143.49032258064514,103.91000000000001
2014-04-01,100.28571428571429,5.414285714285714,238,144.91777777777776,130.42444444444445,1.6458374999999998,7.875,127.3529411764706,116.61111111111111,112.2,148.96559139784947,157.4956989247312,132.04462365591397
2014-05-01,117.4,6.98,227,132.9494623655914,119.6516129032258,1.237866935483871,5.745967741935484,100.28571428571429,138.75,115.95652173913044,144.91777777777776,166.01309523809525,145.5511111111111
2014-06-01,96.46666666666667,6.86,223,126.22222222222221,113.60111111111111,1.40555,6.716666666666667,117.4,127.3529411764706,129.16666666666666,132.9494623655914,148.96559139784947,143.49032258064514
2014-07-01,89.63636363636364,6.5,157,142.3989247311828,128.16612903225806,1.1169193548387095,4.504032258064516,96.46666666666667,100.28571428571429,116.61111111111111,126.22222222222221,144.91777777777776,157.4956989247312
2014-08-01,107.4375,7.26875,250,127.66774193548386,114.90215053763441,1.6304032258064518,7.705645161290323,89.63636363636364,117.4,138.75,142.3989247311828,132.9494623655914,166.01309523809525
2014-09-01,115.13333333333334,7.086666666666667,195,148.12,133.30444444444444,2.0319374999999997,9.779166666666667,107.4375,96.46666666666667,127.3529411764706,127.66774193548386,126.22222222222221,148.96559139784947
2014-10-01,93.11111111111111,6.861111111111111,254,153.90645161290323,138.51827956989248,1.9287701612903225,8.959677419354838,115.13333333333334,89.63636363636364,100.28571428571429,148.12,142.3989247311828,144.91777777777776
2014-11-01,103.10526315789474,7.863157894736842,265,152.2988888888889,137.06666666666666,2.0152666666666668,9.325,93.11111111111111,107.4375,117.4,153.90645161290323,127.66774193548386,132.9494623655914
2014-12-01,119.47368421052632,7.078947368421052,201,154.07311827956988,138.66559139784945,2.2943427419354836,11.241935483870968,103.10526315789474,115.13333333333334,96.46666666666667,152.2988888888889,148.12,126.22222222222221
2015-01-01,94.9375,6.71875,320,137.46833333333333,123.71944444444445,1.9583185483870968,9.459677419354838,119.47368421052632,93.11111111111111,89.63636363636364,154.07311827956988,153.90645161290323,142.3989247311828
2015-02-01,73.77777777777777,4.916666666666667,262,125.93571428571428,113.3404761904762,1.9583392857142858,9.915178571428571,94.9375,103.10526315789474,107.4375,137.46833333333333,152.2988888888889,127.66774193548386
