date,fluxobsflux,fluxadjflux,fluxursi
2021-10-11,89.7,89.36666666666667,80.43333333333334
2021-10-12,84.73333333333333,84.33333333333333,75.89999999999999
2021-10-13,84.39999999999999,84.0,75.60000000000001
2021-10-14,83.73333333333333,83.26666666666667,74.93333333333334
2021-10-15,80.89999999999999,80.43333333333334,72.36666666666666
2021-10-16,80.03333333333335,79.43333333333334,71.53333333333335
2021-10-17,77.93333333333334,77.39999999999999,69.66666666666667
2021-10-18,78.0,77.36666666666666,69.60000000000001
2021-10-19,78.06666666666666,77.46666666666667,69.66666666666667
2021-10-20,78.56666666666666,77.89999999999999,70.10000000000001
2021-10-21,82.3,81.5,73.36666666666667
2021-10-22,85.13333333333334,84.26666666666667,75.83333333333333
2021-10-23,90.8,89.83333333333333,80.86666666666667
2021-10-24,95.0,93.93333333333334,84.53333333333335
2021-10-25,102.3,101.13333333333333,90.96666666666665
2021-10-26,110.43333333333334,109.10000000000001,98.16666666666667
2021-10-27,112.60000000000001,111.16666666666667,100.06666666666666
2021-10-28,116.0,114.5,103.03333333333335
2021-10-29,108.76666666666667,107.3,96.56666666666666
2021-10-30,109.86666666666667,108.33333333333333,97.5
2021-10-31,105.60000000000001,104.0,93.63333333333333
2021-11-01,100.96666666666665,99.46666666666665,89.5
2021-11-02,96.46666666666665,94.93333333333334,85.46666666666665
2021-11-03,93.10000000000001,91.56666666666666,82.43333333333334
2021-11-04,92.60000000000001,91.06666666666666,81.93333333333334
2021-11-05,91.39999999999999,89.8,80.86666666666667
2021-11-06,88.0,86.43333333333334,77.8
2021-11-07,88.86666666666667,87.23333333333333,78.53333333333335
2021-11-08,92.03333333333335,90.3,81.26666666666667
2021-11-09,93.96666666666665,92.16666666666667,82.96666666666667
2021-11-10,89.5,87.76666666666667,79.0
2021-11-11,84.89999999999999,83.2,74.83333333333333
2021-11-12,83.3,81.56666666666666,73.39999999999999
2021-11-13,82.66666666666667,80.96666666666667,72.83333333333333
2021-11-14,79.46666666666665,77.76666666666667,70.0
2021-11-15,80.13333333333334,78.39999999999999,70.53333333333335
2021-11-16,80.8,79.0,71.10000000000001
2021-11-17,80.76666666666667,78.89999999999999,71.03333333333335
2021-11-18,79.86666666666666,78.0,70.2
2021-11-19,78.56666666666666,76.73333333333333,69.03333333333333
2021-11-20,80.03333333333333,78.13333333333334,70.3
2021-11-21,80.23333333333333,78.3,70.46666666666665
2021-11-22,79.2,77.23333333333333,69.53333333333333
2021-11-23,80.89999999999999,78.86666666666667,70.96666666666667
2021-11-24,85.83333333333333,83.66666666666667,75.33333333333333
2021-11-25,86.53333333333335,84.3,75.89999999999999
2021-11-26,92.0,89.56666666666666,80.63333333333334
2021-11-27,91.3,88.89999999999999,80.0
2021-11-28,93.16666666666667,90.66666666666667,81.56666666666668
2021-11-29,90.60000000000001,88.10000000000001,79.33333333333333
2021-11-30,90.43333333333334,87.96666666666665,79.16666666666667
2021-12-01,85.83333333333333,83.46666666666665,75.10000000000001
2021-12-02,85.53333333333335,83.13333333333333,74.8
2021-12-03,86.43333333333334,84.0,75.6
2021-12-04,86.60000000000001,84.13333333333333,75.7
2021-12-05,83.5,81.06666666666666,73.0
2021-12-06,80.0,77.66666666666667,69.89999999999999
2021-12-07,78.8,76.5,68.86666666666667
2021-12-08,77.13333333333334,74.83333333333333,67.36666666666667
2021-12-09,76.16666666666667,73.89999999999999,66.46666666666667
2021-12-10,76.43333333333334,74.13333333333334,66.73333333333333
2021-12-11,77.3,74.93333333333334,67.43333333333334
2021-12-12,79.63333333333334,77.2,69.5
2021-12-13,80.43333333333334,78.0,70.13333333333333
2021-12-14,89.13333333333333,86.33333333333333,77.73333333333333
2021-12-15,102.96666666666665,99.73333333333333,89.76666666666667
2021-12-16,118.8,115.06666666666666,103.56666666666666
2021-12-17,120.96666666666665,117.10000000000001,105.43333333333334
2021-12-18,122.8,118.86666666666667,107.03333333333335
2021-12-19,116.8,113.06666666666666,101.73333333333333
2021-12-20,122.86666666666667,118.93333333333334,107.0
2021-12-21,134.1,129.76666666666665,116.8
2021-12-22,139.0,134.5,121.03333333333335
2021-12-23,128.23333333333335,124.10000000000001,111.66666666666667
2021-12-24,125.26666666666667,121.16666666666667,109.06666666666666
2021-12-25,131.33333333333334,127.06666666666666,114.33333333333333
2021-12-26,125.3,121.2,109.06666666666666
2021-12-27,123.03333333333335,119.0,107.10000000000001
2021-12-28,121.26666666666667,117.26666666666667,105.56666666666666
2021-12-29,111.13333333333333,107.5,96.73333333333333
2021-12-30,102.86666666666667,99.46666666666665,89.5
2021-12-31,101.5,98.13333333333333,88.33333333333333
2022-01-01,94.0,90.89999999999999,81.8
2022-01-02,89.13333333333333,86.16666666666667,77.53333333333335
2022-01-03,83.89999999999999,81.16666666666667,73.03333333333333
2022-01-04,85.36666666666667,82.53333333333335,74.3
2022-01-05,84.26666666666667,81.5,73.36666666666666
2022-01-06,94.06666666666666,90.96666666666665,81.89999999999999
2022-01-07,105.76666666666667,102.3,92.06666666666666
2022-01-08,103.5,100.09999999999998,90.10000000000001
2022-01-09,103.03333333333335,99.63333333333333,89.7
2022-01-10,101.66666666666667,98.3,88.46666666666665
2022-01-11,99.96666666666665,96.63333333333333,87.03333333333335
2022-01-12,102.93333333333334,99.60000000000001,89.60000000000001
2022-01-13,104.66666666666667,101.26666666666667,91.16666666666667
2022-01-14,109.16666666666667,105.63333333333333,95.06666666666666
2022-01-15,116.10000000000001,112.3,101.06666666666666
2022-01-16,117.86666666666667,114.06666666666666,102.63333333333333
2022-01-17,114.2,110.56666666666668,99.5
2022-01-18,124.96666666666665,120.93333333333334,108.83333333333333
2022-01-19,105.13333333333333,101.8,91.60000000000001
2022-01-20,99.89999999999999,96.73333333333333,87.03333333333335
2022-01-21,97.06666666666666,94.03333333333335,84.60000000000001
2022-01-22,95.06666666666666,92.06666666666666,82.86666666666666
2022-01-23,93.33333333333333,90.43333333333334,81.36666666666667
2022-01-24,95.06666666666666,92.10000000000001,82.89999999999999
2022-01-25,100.76666666666667,97.66666666666667,87.86666666666667
2022-01-26,100.96666666666665,97.86666666666667,88.06666666666666
2022-01-27,106.26666666666667,103.06666666666666,92.73333333333333
2022-01-28,113.60000000000001,110.2,99.16666666666667
2022-01-29,125.83333333333333,122.09999999999998,109.89999999999999
2022-01-30,128.63333333333333,124.86666666666667,112.36666666666667
2022-01-31,129.20000000000002,125.39999999999999,112.89999999999999
2022-02-01,129.16666666666666,125.43333333333334,112.86666666666667
2022-02-02,128.63333333333333,124.96666666666665,112.46666666666665
2022-02-03,128.20000000000002,124.56666666666666,112.10000000000001
2022-02-04,128.46666666666667,124.86666666666667,112.36666666666667
2022-02-05,125.43333333333334,121.93333333333334,109.73333333333333
