date,kp,ap
1942-02-01,2.096705357142857,11.808035714285714
1942-03-01,2.942185483870968,22.294354838709676
1942-04-01,2.4749958333333333,17.070833333333333
1942-05-01,1.6209758064516129,7.782258064516129
1942-06-01,1.6957833333333334,7.8875
1942-07-01,2.3225685483870966,12.681451612903226
1942-08-01,2.2701290322580645,12.77016129032258
1942-09-01,2.7027666666666668,16.95
1942-10-01,2.948911290322581,22.193548387096776
1942-11-01,2.5763916666666664,14.566666666666666
1942-12-01,1.9636895161290322,10.701612903225806
1943-01-01,1.9596733870967742,10.766129032258064
1943-02-01,1.9017857142857142,9.361607142857142
1943-03-01,2.2567096774193547,13.05241935483871
1943-04-01,2.3361375,14.154166666666667
1943-05-01,2.3656129032258066,14.475806451612904
1943-06-01,2.2472374999999998,12.383333333333333
1943-07-01,2.533592741935484,14.75
